"n"	"date"	"dream"
"0341"	"(2017-05-10)"	"In a darkened room, with several other people, we laying on beds two meters apart. The room resembles my bedroom at 59 Redwood Street. After a time I watch my left leg rise into the air and bends at odd angles. I feel it being pulled this way and that. I begin to moan, then scream. The persons nearest my bed watch helplessly. Someone comes over to offer help. As my arms flail, as I call out, ""Help me! Help me!"" they stand over me, tentatively offering me their arms to hold onto. Out of fear, this person withdraws his (or her) arms. The process is repeated several times. I need this individual to hold onto, but he or she is unwilling to help in a consistent way."
"0342"	"(2017-05-11)"	"In a huge auditorium, packed with people, my former girlfriend Karen and I have come to attend a college lecture. Our seats are on a ledge, a sort of balcony, and my seat is different from hers, but we have no choice and we sit. The teacher, a tall, older stern looking woman, goes from person to person, checking visas. Karen presents hers. At my turn, I tell the teacher I'm a veteran. I tell her I've applied for a visa several times, but the application is always returned. The teacher says I'll have to leave. Calmly I say, ""I'm sorry you feel that way."" She becomes upset. ""Leave or I'll call the police,"" she replies. I take out my phone and say, ""I'll call them."" I say to the operator, ""I'm a veteran. I'm being abused by a professor. Send a SWAT team. Send an ambulance."" I say this calmly. I want to frighten the teacher. I want to punish her. The ambulance is for her."
"0343"	"(2017-05-12)"	"I'm watching a tall thin attractive woman, who resembles a New York Karina, swim in an indoor pool. As with Karina, I want to insert my lubricated thumb or forefinger into her bottom as I make love to her. The scene changes. At a cafe, I'm wrapping a gift for the widow of Peter D. in newspaper. But who will receive the Catholic Worker article? Peter's widow or my friend Frank?"
"0344"	"(2017-05-13)"	"I'm in a large darkened room where a family is present. I descend steps to the bathroom, but it's dark inside, even when I flick the light switch several times. As I turn to leave, a presence, a sort of beast-man, grabs me. I'm frightened, but grab back, yoking the thing in a headlock, and intentionally fall down the stairs, hoping to injure it. The presence talks to me, moans, resists, as it tries to escape."
"0345"	"(2017-05-14)"	"I'm in a large two-story house where a man I know has introduced me to his girlfriend, who resembles Barbara from college. As I walk past a bedroom, I see her, half naked, sprawled languidly on the mattress. I ignore my sexual impulses and continue walking as she continues to shave her alluring legs. I pass a room where a shy obedient pit bull obeys the man by lifting its rear leg and setting it down. I meet his girlfriend on the staircase, which resembles the staircase in the family house of my father. Completely naked, she is tall and thin; being flat chested, she has the body of a young man. Lonely and sad, I say to her, ""Hold me."" Instead, she tries to passionately kiss me, and I push her away. ""Just hold me,"" I tell her. She can do this, she says, but her movements are awkward, unnatural, unsatisfying. Not what I want. Not what I need."
"0346"	"(2017-05-15)"	"I'm in a large dim lit hallway, with dozens of people, mostly male veterans, waiting to enter a crowded indoor arena for a sport or military event. As we press forward, over the loud speakers, an old man who resembles Attorney General Jeff Sessions announces a bayonet drill. The scene changes. I'm alone in the hallway, now darkened. A young athletic female in black body armor hurtles sideways across the dark floor. My job is to attack her and I dive upon her. As we grapple, nothing is off limits and I bite her hard on the hand. We continue struggling, each trying to defeat the other. I let go her hand and kiss her hard on the mouth. She struggles against me. I don't want to fight. I'm trying to kiss her hard on the mouth."
"0347"	"(2017-05-16)"	"I've been running with my dog at night on a clear city side walk, but she lags behind. There is a moment of cruelty when I speed up my pace instead of slowing down. Slowing to a walk I ask her, ""What's wrong, sweetie?"" My dog replies, ""I'm not used to this,"" and further tells me she has not been training to run in this manner. I'm deeply hurt and feel deep guilt. ""I'm sorry, sweetie. I'm sorry,"" I tell her, and repeat these words upon waking."
"0348"	"(2017-05-18)"	"It's night. Carrie, a waitress at Hulu, and I are standing by a fence and trees on a large lawn, making small talk. When a passing car momentarily stops I say to her, ""We have no cover,"" and I drop to the ground. But Carrie has an escape plan. She will hop the fence behind us and go into the trees. The scene changes. Carrie and I are walking in a sparsely wooded area. As we pass by a tree-shaded stream, a cop car pulls up fifty meters behind us. We can hear them talking. I take the lead. It's better to keep moving, to pretend we're not worried, to show we've done nothing wrong. After crossing a wide shallow stream the cops pursue us and we become separated. Running from the cops, I leap thirty, forty, fifty feet at a time, and glide above the water. Now I'm running, and Penny and I enter a large empty building, a warehouse with immense empty rooms painted white. Trying to outrun the two cops, we become separated. Alone, I glide across the immense floors of an empty room as fast as I can, the two cops right behind me; I'm barely out of sight. The chase continues in a wide hallway, where again, I'm ahead of them, but barely out of sight. They are almost upon me. When I slow down I see that the nearest cop resembles Judge Greg Mathis of the reality TV show."
"0349"	"(2017-05-20)"	"I'm standing off to one side, watching many adults and children actively walk about in a large snow covered field. Periodically an older, dark-skinned Indian man encourages me to walk. Finally I do. My dog is here. She's happily running about, a kerchief tied around her neck. I'm concerned that she might be cold, but she's not shivering. She's running about, as I walk behind her. My brother is nearby."
"0350"	"(2017-05-21)"	"I'm young. While riding in a railroad boxcar with other people I meet a girl, a plain looking tomboy whose personality makes her alluring. The conductor explains that the center of the wooden floor is made of glass, it will not support the heater I've brought. No matter. I will lend it to the man who has asked to use it. One, two or three weeks at a time he can take it wherever he likes. We arrive at a summer village, which the girl belongs to. Several times, as we walk down a dirt path bordered by chicken wire, I ask if the area is safe. The girl assures me it is, and points out several dark green wooden rowboats tied up to the shore. With these, we can take lessons in a specific rowboat technique. When we sleep next to each other, we talk, and several times I choke up. It's the war. I'm thinking how awful things can get, but I do not tell her that's what bothers me. When we arrive at a busy amusement park there are people crowded by entrance. A woman who looks like a woman who resembles Chris D elbows the girl several times. In the slow moving melee I lose sight of the girl, who has entered the amusement park. We haven't made emergency plans; how will I know where to look for her, or she for me? It's as if everything is lost. However I decide to stay put and wait for her. I'm so happy when she returns. I really like this girl. She is my friend. I point out the woman who elbowed her. She seems an angry woman. Angry at life."
